nama_daerah,AHHL,AHHP,HLS,IPM,PPM,Predicted_ANN
ACEH,68.07,71.94,14.39,74.03,14.23,Tidak Perlu Pembangunan
Aceh Barat,65.96,69.93,14.93,73.69,17.6,Tidak Perlu Pembangunan
Aceh Barat Daya,63.1,66.93,13.69,68.75,15.32,Perlu Pembangunan
Aceh Besar,67.8,71.69,14.77,75.13,13.21,Tidak Perlu Pembangunan
Aceh Jaya,65.19,69.09,14.06,71.83,12.25,Tidak Perlu Pembangunan
Aceh Selatan,62.46,66.26,14.71,69.1,12.02,Perlu Pembangunan
Aceh Singkil,65.4,69.31,14.36,70.75,19.06,Tidak Perlu Pembangunan
Aceh Tamiang,67.59,71.54,14.51,72.32,12.17,Tidak Perlu Pembangunan
Aceh Tengah,66.8,70.78,15.03,75.41,14.27,Tidak Perlu Pembangunan
Aceh Tenggara,66.17,70.14,14.47,71.7,11.99,Tidak Perlu Pembangunan
Aceh Timur,66.76,70.65,13.08,69.87,13.26,Tidak Perlu Pembangunan
Aceh Utara,66.78,70.73,14.75,71.7,16.11,Tidak Perlu Pembangunan
Agam,70.58,74.39,14.16,74.66,6.83,Tidak Perlu Pembangunan
Alor,59.78,63.42,12.48,63.82,19.87,Perlu Pembangunan
Asahan,66.34,70.33,12.65,72.09,8.12,Tidak Perlu Pembangunan
Asmat,56.83,60.28,9.71,53.92,24.5,Perlu Pembangunan
BALI,70.39,74.17,13.62,77.76,4.0,Tidak Perlu Pembangunan
BANTEN,68.15,71.99,13.1,74.48,5.84,Tidak Perlu Pembangunan
BENGKULU,67.54,71.4,13.75,73.39,13.56,Tidak Perlu Pembangunan
Badung,73.35,76.77,14.23,83.87,2.23,Tidak Perlu Pembangunan
Balangan,65.87,69.77,13.09,71.34,4.87,Tidak Perlu Pembangunan
Bandung,71.94,75.52,12.74,74.27,6.19,Tidak Perlu Pembangunan
Bandung Barat,70.7,74.39,12.0,70.03,10.49,Perlu Pembangunan
Banggai,68.9,72.76,13.35,72.32,6.56,Tidak Perlu Pembangunan
Banggai Kepulauan,64.64,68.45,13.11,67.43,12.32,Perlu Pembangunan
Banggai Laut,63.72,67.52,13.04,67.43,13.78,Perlu Pembangunan
Bangka,69.15,73.0,13.12,73.98,4.24,Tidak Perlu Pembangunan
Bangka Barat,68.07,72.03,11.79,70.67,2.59,Tidak Perlu Pembangunan
Bangka Selatan,66.26,70.34,11.71,68.86,3.74,Perlu Pembangunan
Bangka Tengah,69.57,73.39,12.15,71.9,5.94,Tidak Perlu Pembangunan
Bangkalan,68.19,72.14,11.98,66.27,18.66,Perlu Pembangunan
Bangli,68.61,72.53,12.53,71.34,5.06,Tidak Perlu Pembangunan
Banjar,65.45,69.32,13.04,71.87,2.36,Tidak Perlu Pembangunan
Banjarnegara,72.4,76.11,11.83,69.6,14.71,Perlu Pembangunan
Bantaeng,68.45,72.53,12.79,71.48,8.26,Tidak Perlu Pembangunan
Bantul,71.97,75.71,15.63,81.74,11.66,Tidak Perlu Pembangunan
Banyu Asin,66.83,71.0,12.34,69.51,9.31,Perlu Pembangunan
Banyumas,71.93,75.71,13.34,74.52,11.95,Tidak Perlu Pembangunan
Banyuwangi,68.67,72.67,13.14,73.11,6.54,Tidak Perlu Pembangunan
Barito Kuala,64.33,68.15,12.56,68.84,4.36,Perlu Pembangunan
Barito Selatan,65.17,69.08,13.0,72.36,4.83,Tidak Perlu Pembangunan
Barito Timur,66.24,70.25,12.88,73.26,6.66,Tidak Perlu Pembangunan
Barito Utara,69.31,73.19,12.55,72.31,5.67,Tidak Perlu Pembangunan
Barru,67.04,71.02,13.63,73.06,8.31,Tidak Perlu Pembangunan
Batang,72.89,76.65,12.17,70.74,8.73,Tidak Perlu Pembangunan
Batang Hari,68.7,72.56,12.97,71.67,8.63,Tidak Perlu Pembangunan
Batu Bara,65.13,69.02,13.12,70.83,10.94,Tidak Perlu Pembangunan
Bekasi,71.99,75.63,13.18,76.44,4.8,Tidak Perlu Pembangunan
Belitung,69.09,73.0,12.09,74.47,6.11,Tidak Perlu Pembangunan
Belitung Timur,70.15,74.0,11.69,73.19,6.36,Tidak Perlu Pembangunan
Belu,63.0,66.71,12.32,64.43,13.86,Perlu Pembangunan
Bener Meriah,67.27,71.14,13.73,75.01,18.18,Tidak Perlu Pembangunan
Bengkalis,69.28,73.11,13.44,75.28,6.36,Tidak Perlu Pembangunan
Bengkayang,72.06,75.58,12.22,70.3,6.0,Tidak Perlu Pembangunan
Bengkulu Selatan,65.86,70.01,13.66,72.35,17.1,Tidak Perlu Pembangunan
Bengkulu Tengah,66.14,70.25,13.47,69.84,10.14,Tidak Perlu Pembangunan
Bengkulu Utara,66.2,70.23,12.92,71.11,10.96,Tidak Perlu Pembangunan
Berau,70.34,74.13,13.37,76.66,5.08,Tidak Perlu Pembangunan
Biak Numfor,66.17,70.24,14.24,73.98,23.46,Perlu Pembangunan
Bima,64.59,68.37,13.66,68.94,13.88,Perlu Pembangunan
Bintan,68.41,72.41,13.45,76.18,5.44,Tidak Perlu Pembangunan
Bireuen,69.26,73.14,14.88,74.45,12.1,Tidak Perlu Pembangunan
Blitar,71.69,75.43,12.67,73.09,8.16,Tidak Perlu Pembangunan
Blora,72.66,76.35,12.6,71.39,11.42,Tidak Perlu Pembangunan
Boalemo,67.34,71.21,12.49,68.74,17.83,Perlu Pembangunan
Bogor,69.52,73.25,12.75,72.39,7.05,Tidak Perlu Pembangunan
Bojonegoro,69.75,73.6,13.18,71.78,11.69,Tidak Perlu Pembangunan
Bolaang Mongondow,67.43,71.35,11.65,70.29,7.74,Tidak Perlu Pembangunan
Bolaang Mongondow Selatan,62.67,66.35,12.34,67.14,11.33,Perlu Pembangunan
Bolaang Mongondow Timur,65.83,69.87,11.91,68.53,5.87,Perlu Pembangunan
